"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
30071,24.09000015,0.150000006,53.74000168,1.039999962,1.149999976,35.52999878,1.950000048,17.67000008,9.420000076
30011,55.31999969,0.07,63.31000137,0.959999979,0.589999974,35.84000015,0.540000021,19.5,3.099999905
30077,14.36999989,0.5,50.86999893,0.639999986,1.950000048,38.86000061,9.18999958,12.86999989,8.609999657
30093,2.019999981,0.159999996,54.34000015,1.570000052,2.75,34.34000015,4.039999962,14.60000038,15.39999962
30063,2.75,0.270000011,61.31000137,2.289999962,1.610000014,26.53000069,6.949999809,15.60000038,14.65999985
30079,35.70000076,0,55.61999893,1.169999957,0.670000017,32.31000137,1.210000038,15.46000004,5.550000191
30105,16.31999969,0.129999995,52.83000183,1.129999995,0.779999971,39.70000076,1.139999986,12.31999969,12.30000019
30009,12.15999985,0.25,55.40000153,1.590000033,1.769999981,36.04000092,5.539999962,11.07999992,9.93999958
30013,2.869999886,1.120000005,54.04000092,2.369999886,2.430000067,33.34000015,3.480000019,12.21000004,14.15999985
30101,12.72000027,0.150000006,53.22999954,3.589999914,1.159999967,35.09999847,1.539999962,12.55000019,9.300000191
30065,17.37000084,0.07,49.31999969,1.960000038,1.600000024,38.09999847,1.870000005,17.54999924,13.11999989
30047,9.489999771,0.119999997,52.65999985,1.610000014,2.519999981,31.75,11.36999989,17.85000038,11.85000038
30075,41.99000168,0,56.75999832,0.649999976,0.589999974,31.37000084,1.620000005,11.92000008,6.599999905
